Repo,MergeCommit,File,Diff3_Conflict,CSDiff_Conflict,CSDiff_Equals_Manual,Diff3_ParseOK,CSDiff_ParseOK,Manual_ParseOK
shellcheck,62a8ecf,src/ShellCheck/Checks/ShellSupport.hs,1,1,False,False,False,True
shellcheck,85066dd,src/ShellCheck/Checks/ShellSupport.hs,1,1,False,False,False,True
shellcheck,ea83b60,src/ShellCheck/Parser.hs,1,1,False,False,False,False
shellcheck,3fa5b7d,src/ShellCheck/AnalyzerLib.hs,2,1,False,False,False,True
shellcheck,3ef1175,src/ShellCheck/Analytics.hs,1,1,False,False,False,False
shellcheck,40aacc3,src/ShellCheck/Parser.hs,1,1,False,False,False,False
shellcheck,420d913,src/ShellCheck/Checks/ShellSupport.hs,1,1,False,False,False,True
shellcheck,932e2b3,src/ShellCheck/Checker.hs,1,1,False,False,False,True
shellcheck,46c10c1,src/ShellCheck/Analytics.hs,2,2,False,False,False,False
shellcheck,407f6a6,src/ShellCheck/Analytics.hs,1,1,False,False,False,False
shellcheck,79872f9,ShellCheck/Analytics.hs,2,2,False,False,False,False
shellcheck,726a4e5,ShellCheck/Analytics.hs,2,2,False,False,False,True
shellcheck,726a4e5,ShellCheck/Data.hs,1,1,False,False,False,True
pandoc,a337685,src/Text/Pandoc/Readers.hs,1,1,False,False,False,True
pandoc,a337685,test/test-pandoc.hs,1,1,False,False,False,True
pandoc,2b039ac,src/Text/Pandoc/Readers/LaTeX.hs,1,1,False,False,False,True
pandoc,f93d7d0,src/Text/Pandoc/Readers/LaTeX.hs,1,3,False,False,False,True
pandoc,635f299,src/Text/Pandoc/Readers/LaTeX.hs,1,1,False,False,False,True
pandoc,4c103f6,src/Text/Pandoc/Writers/LaTeX.hs,1,1,False,False,False,True
pandoc,244cd56,src/Text/Pandoc/ImageSize.hs,1,1,False,False,False,True
pandoc,244cd56,src/Text/Pandoc/Readers/EPUB.hs,1,1,False,False,False,True
pandoc,244cd56,src/Text/Pandoc/Writers/EPUB.hs,1,1,False,False,False,True
pandoc,244cd56,src/Text/Pandoc/Writers/Haddock.hs,1,1,False,False,False,True
pandoc,244cd56,src/Text/Pandoc/Writers/LaTeX.hs,4,4,False,False,False,True
pandoc,2d2e4c9,src/Text/Pandoc/Readers/Org.hs,1,1,False,False,False,True
pandoc,6a3a04c,benchmark/benchmark-pandoc.hs,1,1,False,False,False,True
pandoc,6a3a04c,src/Text/Pandoc/Parsing.hs,14,18,False,False,False,True
pandoc,6a3a04c,src/Text/Pandoc/Readers/Markdown.hs,225,258,False,False,False,True
pandoc,6a3a04c,src/Text/Pandoc/Readers/Org.hs,131,157,False,False,False,True
pandoc,6a3a04c,src/Text/Pandoc/Readers/RST.hs,1,1,False,False,False,True
pandoc,6a3a04c,tests/Tests/Readers/LaTeX.hs,1,1,False,False,False,True
pandoc,bd7cf8d,src/Text/Pandoc/Writers/Texinfo.hs,1,1,False,False,False,True
pandoc,8a3363a,src/Text/Pandoc/Readers/LaTeX.hs,1,1,False,False,False,True
pandoc,544f3e5,src/Text/Pandoc/Writers/LaTeX.hs,1,1,False,False,False,True
pandoc,544f3e5,tests/Tests/Writers/LaTeX.hs,1,1,False,False,False,True
pandoc,f70e3c3,src/Text/Pandoc/Writers/Docx.hs,1,1,False,False,False,True
pandoc,bc06ef0,src/Text/Pandoc/Readers/EPUB.hs,3,3,False,False,False,True
pandoc,a6dcae1,src/Text/Pandoc/Writers/ODT.hs,2,2,False,False,False,True
pandoc,f5c2082,src/pandoc.hs,1,1,False,False,False,False
pandoc,0181e66,src/Text/Pandoc/Readers/Markdown.hs,1,1,False,False,False,False
pandoc,0181e66,src/Text/Pandoc/Shared.hs,1,1,False,False,False,True
cabal,9985a2c,Cabal-syntax/src/Distribution/Compat/Prelude.hs,1,1,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Backpack/Configure.hs,10,9,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Backpack/ConfiguredComponent.hs,1,5,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Backpack/LinkedComponent.hs,3,5,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Backpack/PreExistingComponent.hs,2,2,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/PackageDescription/Check.hs,1,1,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Simple/Configure.hs,14,19,False,False,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/GHC.hs,6,5,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Simple/GHC/ImplInfo.hs,3,3,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Simple/GHC/Internal.hs,8,10,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Simple/GHCJS.hs,2,2,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Simple/Setup/Config.hs,3,6,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Simple/Setup/Repl.hs,2,1,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Types/AnnotatedId.hs,3,3,False,False,False,True
cabal,9985a2c,Cabal/src/Distribution/Types/LocalBuildInfo.hs,1,1,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/CmdListBin.hs,4,4,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/CmdRepl.hs,29,33,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/CmdRun.hs,4,4,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/Config.hs,10,11,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/HashValue.hs,2,2,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/InstallPlan.hs,2,6,False,False,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/NixStyleOptions.hs,1,1,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectBuilding.hs,10,7,False,False,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectConfig.hs,1,1,False,False,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectConfig/Legacy.hs,11,11,False,False,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectConfig/Types.hs,1,1,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectOrchestration.hs,2,2,False,False,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectPlanOutput.hs,4,9,False,False,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectPlanning.hs,26,34,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectPlanning/Types.hs,14,16,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/ScriptUtils.hs,13,15,False,False,False,True
cabal,9985a2c,cabal-install/src/Distribution/Client/Setup.hs,7,7,False,False,False,True
cabal,9985a2c,cabal-install/tests/UnitTests/Distribution/Client/ProjectConfig.hs,2,2,False,False,False,True
cabal,40fac2c,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,False,False,True
cabal,9957b0f,cabal-install-solver/src/Distribution/Solver/Modular/Preference.hs,4,6,False,False,False,True
cabal,a39d590,cabal-install/src/Distribution/Client/ProjectPlanning.hs,1,1,False,False,False,True
cabal,d16c448,Cabal/Distribution/Simple/GHCJS.hs,2,2,False,False,False,True
cabal,798186e,cabal-install/Distribution/Client/Config.hs,1,1,False,False,False,True
cabal,6f19128,cabal-install/Distribution/Client/CmdBuild.hs,3,3,False,False,False,True
cabal,6f19128,cabal-install/Distribution/Client/CmdClean.hs,1,1,False,False,False,True
cabal,6f19128,cabal-install/Distribution/Client/CmdTest.hs,2,2,False,False,False,True
cabal,7b873dc,cabal-install/Distribution/Client/DistDirLayout.hs,1,0,True,False,False,False
cabal,f3cacff,cabal-install/Distribution/Client/ProjectPlanning.hs,1,1,False,False,False,True
cabal,dd01446,cabal-install/Distribution/Client/SetupWrapper.hs,2,2,False,False,False,True
cabal,b57f9bd,cabal-install/Distribution/Client/CmdBench.hs,1,1,False,False,False,True
cabal,b57f9bd,cabal-install/Distribution/Client/ProjectOrchestration.hs,2,2,False,False,False,True
cabal,b57f9bd,cabal-install/Distribution/Client/ProjectPlanning.hs,8,8,False,False,False,True
cabal,b57f9bd,cabal-install/Distribution/Client/ProjectPlanning/Types.hs,3,3,False,False,False,True
cabal,b7f726c,cabal-install/Distribution/Client/ProjectOrchestration.hs,1,1,False,False,False,True
cabal,b7f726c,cabal-install/Distribution/Client/ProjectPlanOutput.hs,3,3,False,False,False,True
cabal,b7f726c,cabal-install/Distribution/Client/ProjectPlanning.hs,4,4,False,False,False,True
cabal,b7f726c,cabal-install/main/Main.hs,2,2,False,False,False,True
cabal,6e4ff94,cabal-install/Distribution/Client/Dependency/Modular/Solver.hs,1,1,False,False,False,True
cabal,43be49e,cabal-install/Setup.hs,1,1,False,False,False,True
cabal,cfcfb0f,cabal-install/Distribution/Client/Config.hs,1,1,False,False,False,True
cabal,cfcfb0f,cabal-install/tests/UnitTests/Distribution/Client/UserConfig.hs,6,6,False,False,False,True
cabal,e1821c5,Cabal/Distribution/Simple/GHC.hs,1,1,False,False,False,True
cabal,500284b,Cabal/Distribution/Package.hs,1,1,False,False,False,True
cabal,ea8735a,Cabal/Distribution/Simple/GHC.hs,7,7,False,False,False,True
cabal,ea8735a,cabal-install/Distribution/Client/Run.hs,1,1,False,False,False,True
cabal,b24f433,cabal-install/Distribution/Client/Setup.hs,1,1,False,False,False,True
cabal,b24f433,cabal-install/Main.hs,1,1,False,False,False,True
cabal,47cc3de,cabal-install/Distribution/Client/Install.hs,1,1,False,False,False,True
cabal,2c22c0e,cabal-install/Distribution/Client/Dependency.hs,1,1,False,False,False,True
cabal,2c22c0e,cabal-install/Distribution/Client/Dependency/Modular/Dependency.hs,2,2,False,False,False,True
cabal,2c22c0e,cabal-install/Distribution/Client/Dependency/Modular/Flag.hs,1,1,False,False,False,True
cabal,2c22c0e,cabal-install/Distribution/Client/Install.hs,3,6,False,False,False,True
cabal,8ad417a,cabal-install/Distribution/Client/Dependency.hs,7,7,False,False,False,True
cabal,8ad417a,cabal-install/Distribution/Client/Freeze.hs,2,2,False,False,False,True
cabal,8ad417a,cabal-install/Distribution/Client/Install.hs,2,2,False,False,False,True
cabal,8ad417a,cabal-install/Distribution/Client/Setup.hs,15,15,False,False,False,True
cabal,8ad417a,cabal-install/Main.hs,2,2,False,False,False,True
cabal,3388fff,cabal-install/Distribution/Client/Freeze.hs,1,1,False,False,False,True
cabal,c13850d,Cabal/Distribution/ParseUtils.hs,2,2,False,False,False,True
cabal,9a39df3,Cabal/tests/PackageTests.hs,1,1,False,False,False,True
cabal,4327824,Cabal/Distribution/Simple/Build/PathsModule.hs,2,2,False,False,False,True
cabal,9c7314a,cabal-install/Distribution/Client/IndexUtils.hs,7,8,False,False,False,True
cabal,9c7314a,cabal-install/Distribution/Client/Install.hs,8,8,False,False,False,True
cabal,9c7314a,cabal-install/Distribution/Client/Setup.hs,4,4,False,False,False,True
cabal,9c7314a,cabal-install/Distribution/Client/Unpack.hs,10,12,False,False,False,True
cabal,e0b6bbe,Cabal/tests/PackageTests/PackageTester.hs,1,1,False,False,False,True
cabal,bdc9997,Cabal/tests/PackageTests/PackageTester.hs,1,1,False,False,False,True
cabal,698ec39,Cabal/Distribution/Simple/Command.hs,1,2,False,False,False,True
cabal,698ec39,cabal-install/Distribution/Client/Install.hs,5,5,False,False,False,True
cabal,698ec39,cabal-install/Distribution/Client/Setup.hs,3,4,False,False,False,True
cabal,698ec39,cabal-install/Distribution/Client/Utils.hs,4,4,False,False,False,True
cabal,df2a0be,cabal-install/Distribution/Client/Utils.hs,3,3,False,False,False,True
stack,f2012db,src/Stack/Init.hs,17,17,False,False,False,True
stack,2a9cb67,etc/scripts/release.hs,2,2,False,False,False,True
stack,2a9cb67,src/Stack/Build/ConstructPlan.hs,3,3,False,False,False,True
stack,2a9cb67,src/Stack/Build/Source.hs,1,1,False,False,False,True
stack,2a9cb67,src/Stack/Constants.hs,3,3,False,False,False,True
stack,2a9cb67,src/Stack/Init.hs,1,1,False,False,False,True
stack,2a9cb67,src/Stack/Options/SetupParser.hs,1,1,False,False,False,True
stack,2a9cb67,src/setup-shim/StackSetupShim.hs,8,21,False,False,False,True
stack,2a9cb67,tests/integration/lib/StackTest.hs,1,1,False,False,False,True
stack,2a9cb67,tests/integration/tests/4101-dependency-tree/Main.hs,4,4,False,False,False,True
stack,2a9cb67,tests/integration/tests/cabal-sublibrary-dependency/Main.hs,1,1,False,False,False,True
stack,2a9cb67,tests/integration/tests/nice-resolver-names/Main.hs,1,1,False,False,False,True
stack,2a9cb67,tests/unit/Stack/ConfigSpec.hs,10,10,False,False,False,True
stack,e90ad3d,src/Stack/Build/ExecuteEnv.hs,10,15,False,False,False,True
stack,e90ad3d,src/Stack/Config.hs,2,2,False,False,False,True
stack,099cf1c,src/Stack/Build/ExecutePackage.hs,1,1,False,False,False,True
stack,a9b20d7,src/Stack/Build/ExecutePackage.hs,1,1,False,False,False,True
stack,802afc1,src/Stack/Build/ConstructPlan.hs,1,1,False,False,False,True
stack,b0f87cb,src/Stack/Build/ExecutePackage.hs,1,1,False,False,False,True
stack,b0f87cb,src/Stack/Types/Build.hs,1,1,False,False,False,True
stack,8ce1b19,src/Stack/Build/ExecutePackage.hs,1,1,False,False,False,True
stack,6d2e8bd,src/Stack/Build/ExecutePackage.hs,1,1,False,False,False,True
stack,0a901af,src/Stack/Build/Execute.hs,1,1,False,False,False,True
stack,0a901af,src/Stack/Build/ExecuteEnv.hs,1,1,False,False,False,True
stack,0a901af,src/Stack/Build/ExecutePackage.hs,2,2,False,False,False,True
stack,635e709,src/Stack/Build/Execute.hs,4,4,False,False,False,True
stack,f20d755,src/Data/Attoparsec/Interpreter.hs,7,11,False,False,False,True
stack,f20d755,src/Stack/Build/Execute.hs,126,719,False,False,False,True
stack,f20d755,src/Stack/Config.hs,65,305,False,False,False,True
stack,f20d755,src/Stack/Constants.hs,13,14,False,False,False,True
stack,f20d755,src/Stack/Constants/Config.hs,17,20,False,False,False,True
stack,f20d755,src/Stack/DefaultColorWhen.hs,1,1,False,False,False,True
stack,f20d755,src/Stack/Ghci.hs,62,255,False,False,False,True
stack,f20d755,src/Stack/Hoogle.hs,12,70,False,False,False,True
stack,f20d755,src/Stack/Init.hs,35,118,False,False,False,True
stack,f20d755,src/Stack/Options/DockerParser.hs,17,17,False,False,False,True
stack,f20d755,src/Stack/Prelude.hs,24,33,False,False,False,True
stack,f20d755,src/Stack/Runners.hs,16,25,False,False,False,True
stack,f20d755,src/Stack/SDist.hs,43,120,False,False,False,True
stack,f20d755,src/Stack/Setup.hs,147,643,False,False,False,True
stack,f20d755,src/Stack/SourceMap.hs,11,11,False,False,False,True
stack,f20d755,src/Stack/Types/Docker.hs,4,4,False,False,False,True
stack,f20d755,src/Stack/Upgrade.hs,30,58,False,False,False,True
